date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:04	199/199	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Nov%202021%2011:01:04%20GMT	https://musicara.ml/robots.txt		(from )
18:01:05	17118/17118	---MCZ	200	added ('OK')	text/html	date:Thu,%2025%20Nov%202021%2011:01:04%20GMT	https://musicara.ml/	C:/My%20Web%20Sites/no2/musicara.ml/index.html	(from )
18:01:06	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Nov%202021%2011:01:05%20GMT	http://mike-eng.com/sandbox/xmas-ecard/img/unmuted-down.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/unmuted-down.0.delayed	(from https://musicara.ml/)
18:01:07	1197/1197	---M--	200	added ('OK')	image/png	etag:%224ad-4edbb9e479040%22	https://mike-eng.com/sandbox/xmas-ecard/img/unmuted-down.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/unmuted-down.png	(from https://musicara.ml/)
18:01:08	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Nov%202021%2011:01:08%20GMT	http://mike-eng.com/sandbox/xmas-ecard/img/muted.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/muted.2.delayed	(from https://musicara.ml/)
18:01:08	968/968	---M--	200	added ('OK')	image/png	etag:%223c8-4edbb9e479040%22	https://mike-eng.com/sandbox/xmas-ecard/img/muted.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/muted.png	(from https://musicara.ml/)
18:01:09	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Nov%202021%2011:01:08%20GMT	http://mike-eng.com/sandbox/xmas-ecard/img/muted-down.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/muted-down.png	(from https://musicara.ml/)
18:01:09	795/795	---M--	200	added ('OK')	image/png	etag:%2231b-4edbb9e479040%22	https://mike-eng.com/sandbox/xmas-ecard/img/muted-down.png	C:/My%20Web%20Sites/no2/mike-eng.com/sandbox/xmas-ecard/img/muted-down.png	(from https://musicara.ml/)
18:01:10	32046/32046	---M-Z	200	added ('OK')	text/css	etag:W/%22611feaca-7d2e%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css	(from https://musicara.ml/)
18:01:11	5869/5869	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216ed-1ywoTVy7av1t/0SIk3AW6cfLKQ0%22	https://cdn.jsdelivr.net/gh/ogut77/OLSinPython/aa.js	C:/My%20Web%20Sites/no2/cdn.jsdelivr.net/gh/ogut77/OLSinPython/aa.js	(from https://musicara.ml/)
18:01:12	1738/1738	---M--	200	added ('OK')	image/gif	etag:%2254499a48-6ca%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/animated-overlay.gif	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/animated-overlay.gif	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:12	5978/5978	---M--	200	added ('OK')	image/png	etag:%221621420994.0-5978-2059340203%22	https://musicara.ml/static/supatreon.png	C:/My%20Web%20Sites/no2/musicara.ml/static/supatreon.png	(from https://musicara.ml/)
18:01:13	208/208	---M--	200	added ('OK')	image/png	etag:%2254499a48-d0%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:13	280/280	---M--	200	added ('OK')	image/png	etag:%2254499a48-118%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:13	262/262	---M--	200	added ('OK')	image/png	etag:%2254499a48-106%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:14	262/262	---M--	200	added ('OK')	image/png	etag:%2254499a48-106%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:14	207/207	---M--	200	added ('OK')	image/png	etag:%2254499a48-cf%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:14	335/335	---M--	200	added ('OK')	image/png	etag:%2254499a48-14f%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:14	263767/263767	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-40657%22	http://code.jquery.com/jquery-3.1.0.js	C:/My%20Web%20Sites/no2/code.jquery.com/jquery-3.1.0.js	(from https://musicara.ml/)
18:01:15	332/332	---M--	200	added ('OK')	image/png	etag:%2254499a48-14c%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:16	6922/6922	---M--	200	added ('OK')	image/png	etag:%2254499a48-1b0a%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_222222_256x240.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:16	6999/6999	---M--	200	added ('OK')	image/png	etag:%2254499a48-1b57%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_888888_256x240.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:17	6992/6992	---M--	200	added ('OK')	image/png	etag:%2254499a48-1b50%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_454545_256x240.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:17	4549/4549	---M--	200	added ('OK')	image/png	etag:%2254499a48-11c5%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_2e83ff_256x240.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:17	212/212	---M--	200	added ('OK')	image/png	etag:%2254499a48-d4%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:17	4549/4549	---M--	200	added ('OK')	image/png	etag:%2254499a48-11c5%22	http://code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.10.3/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	(from http://code.jquery.com/ui/1.10.3/themes/smoothness/jquery-ui.css)
18:01:19	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feaca-7f20a%22	http://code.jquery.com/ui/1.12.1/jquery-ui.js	C:/My%20Web%20Sites/no2/code.jquery.com/ui/1.12.1/jquery-ui.js	(from https://musicara.ml/)
